timestamp,label,score,ep_len_steps,n_strides_detected,stride_period_s,cadence_steps_per_min,double_support_frac,peak_vgrf_bw,lr_stride_asymmetry,hip_knee_dtw,swing_drag_frac,hip_r_rom_deg,knee_r_rom_deg,ankle_r_rom_deg,hip_l_rom_deg,knee_l_rom_deg,ankle_l_rom_deg,ankle_l_rom_deg__pct_err,ankle_r_rom_deg__pct_err,cadence_steps_per_min__pct_err,double_support_frac__pct_err,hip_l_rom_deg__pct_err,hip_r_rom_deg__pct_err,knee_l_rom_deg__pct_err,knee_r_rom_deg__pct_err,peak_vgrf_bw__pct_err,peak_vgrf_bw_l__pct_err,peak_vgrf_bw_r__pct_err,stride_period_s__pct_err
2026-04-29T00:01:51,xvel-5M,2.466,2500.0,61.0,0.32268852459016395,371.8760189453216,0.07390198415325874,3.1997238941447836,0.09864059000761745,0.14784414314321223,0.0,1.7947604385957052,21.15150348422931,20.266451852956486,2.1271829635465385,23.863950387914663,17.328673752378315,-57.6,-49.3,247.1,-67.4,-95.3,-96.0,-63.9,-67.8,190.7,165.2,216.4,-71.2
2026-04-29T00:01:53,k30-5M,0.644,92.0,1.0,0.25224242424242427,475.73282075925033,0.29776119402985074,2.578843899163384,0.3302112295948219,0.18540343192737052,0.0,1.5638738799149354,17.981925362310843,11.677581080756172,2.6418516929280265,31.665125721723694,11.379029522339033,-72.2,-70.8,344.0,31.4,-94.2,-96.6,-52.1,-72.6,134.3,89.9,193.9,-77.5
2026-04-29T18:55:50,b4_hipopen_5M,1.893,2500.0,52.0,0.3819230769230769,314.2061384392555,0.015499390451698129,4.77825712211499,0.2245656242025837,0.20997924734280543,0.0,20.489338109482123,31.545969295336427,17.816477117745976,20.446788505279255,34.18320803866088,18.72721936411898,-54.2,-55.5,193.3,-93.2,-55.0,-54.9,-48.3,-52.0,334.1,274.2,387.1,-65.9
2026-04-29T18:55:56,b4_hiprelax_s11,2.450,2500.0,55.0,0.36174545454545454,331.7263106566314,0.014876161076350279,3.975226027669126,0.1122267296100935,0.14963760253566646,0.0,18.868623617767305,28.048257856361943,14.859154121452391,15.038013004813486,22.99077058991825,15.206154482487811,-62.8,-62.8,209.6,-93.4,-66.9,-58.4,-65.2,-57.3,261.1,233.2,285.9,-67.7
2026-04-29T18:56:01,b5_min_joint,2.190,2500.0,50.5,0.38482823529411764,311.8555128439807,0.007850023923688524,3.654489685900592,0.0867384700834895,0.25937868326477737,0.0,15.32648776171159,23.318776751974845,12.96314725249287,23.152917957276095,35.04279135230996,16.70747330866811,-59.1,-67.6,191.1,-96.5,-49.1,-66.2,-47.0,-64.5,232.0,208.7,265.1,-65.6
2026-04-29T18:56:07,b5_pose_scale20,2.238,2500.0,50.5,0.3880298039215686,309.2566076357866,0.019301227842136063,4.455736014096278,0.03348237890095905,0.2991909043868827,0.0,20.733884468766824,45.035233301943975,16.815011845753943,20.70721484480174,27.851284315721117,18.342915172754445,-55.1,-58.0,188.6,-91.5,-54.5,-54.3,-57.9,-31.5,304.8,257.1,362.0,-65.4
2026-04-29T18:56:11,b2_xvel_baseline,2.441,2327.5,53.5,0.34965517241379307,343.3083093702177,0.07030338890032242,3.2055215520754734,0.10568577818515187,0.13488767006391028,0.0,1.9837152391741164,21.50373004091793,20.24189573864451,2.233015102535182,22.681009633804848,19.426733714182248,-52.5,-49.4,220.4,-69.0,-95.1,-95.6,-65.7,-67.3,191.2,160.2,215.5,-68.8
